chi2cdf table of deg 1
x	chi2cdf(x)	1-chi2cdf(x)
54.01	1.000000e-00	1.995071e-13
54.00	1.000000e-00	2.005063e-13
53.99	1.000000e-00	2.015055e-13
53.98	1.000000e-00	2.025047e-13
53.97	1.000000e-00	2.036149e-13
53.96	1.000000e-00	2.046141e-13
53.95	1.000000e-00	2.056133e-13
53.94	1.000000e-00	2.067235e-13
53.93	1.000000e-00	2.077227e-13
53.92	1.000000e-00	2.088330e-13
53.91	1.000000e-00	2.098322e-13
53.90	1.000000e-00	2.109424e-13
53.89	1.000000e-00	2.120526e-13
53.88	1.000000e-00	2.131628e-13
53.87	1.000000e-00	2.141620e-13
53.86	1.000000e-00	2.152722e-13
53.85	1.000000e-00	2.163825e-13
53.84	1.000000e-00	2.174927e-13
53.83	1.000000e-00	2.186029e-13
53.82	1.000000e-00	2.197131e-13
53.81	1.000000e-00	2.208234e-13
53.80	1.000000e-00	2.219336e-13
53.79	1.000000e-00	2.231548e-13
53.78	1.000000e-00	2.242651e-13
53.77	1.000000e-00	2.253753e-13
53.76	1.000000e-00	2.264855e-13
53.75	1.000000e-00	2.277067e-13
53.74	1.000000e-00	2.288170e-13
53.73	1.000000e-00	2.300382e-13
53.72	1.000000e-00	2.311484e-13
53.71	1.000000e-00	2.323697e-13
53.70	1.000000e-00	2.335909e-13
53.69	1.000000e-00	2.347011e-13
53.68	1.000000e-00	2.359224e-13
53.67	1.000000e-00	2.371436e-13
53.66	1.000000e-00	2.383649e-13
53.65	1.000000e-00	2.395861e-13
53.64	1.000000e-00	2.408074e-13
53.63	1.000000e-00	2.420286e-13
53.62	1.000000e-00	2.432499e-13
53.61	1.000000e-00	2.444711e-13
53.60	1.000000e-00	2.458034e-13
53.59	1.000000e-00	2.470246e-13
53.58	1.000000e-00	2.482459e-13
53.57	1.000000e-00	2.495781e-13
53.56	1.000000e-00	2.507994e-13
53.55	1.000000e-00	2.521316e-13
53.54	1.000000e-00	2.533529e-13
53.53	1.000000e-00	2.546852e-13
53.52	1.000000e-00	2.560174e-13
53.51	1.000000e-00	2.572387e-13
53.50	1.000000e-00	2.585709e-13
53.49	1.000000e-00	2.599032e-13
53.48	1.000000e-00	2.612355e-13
53.47	1.000000e-00	2.625677e-13
53.46	1.000000e-00	2.639000e-13
53.45	1.000000e-00	2.652323e-13
53.44	1.000000e-00	2.665645e-13
53.43	1.000000e-00	2.680078e-13
53.42	1.000000e-00	2.693401e-13
53.41	1.000000e-00	2.706724e-13
53.40	1.000000e-00	2.721157e-13
53.39	1.000000e-00	2.734479e-13
53.38	1.000000e-00	2.748912e-13
