#GeneID Symbol Synonyms
534	ATP6V1G2	ATP6G|ATP6G2|NG38|VMA10
535	ATP6V0A1	ATP6N1|ATP6N1A|DKFZp781J1951|Stv1|VPP1|Vph1|a1
537	ATP6AP1	16A|ATP6IP1|ATP6S1|Ac45|CF2|MGC129781|VATPS1|XAP-3|XAP3
538	ATP7A	MK|MNK
539	ATP5O	ATPO|OSCP
540	ATP7B	PWD|WC1|WD|WND
541	ALDH7A1P1	ATQL1
542	ATQL2	-
543	ATQL3	-
544	ATQL4	-
545	ATR	FRP1|MEC1|SCKL|SCKL1
546	ATRX	ATR2|MGC2094|MRXS3|RAD54|RAD54L|SHS|XH2|XNP|ZNF-HX
547	KIF1A	ATSV|C2orf20|DKFZp686I2094|FLJ30229|HUNC-104|MGC133285|MGC133286|UNC104
549	AUH	-
550	AUP1	-
551	AVP	ADH|ARVP|AVP-NPII|AVRP|VP
552	AVPR1A	AVPR1
553	AVPR1B	AVPR3
554	AVPR2	ADHR|DI1|DIR|DIR3|MGC126533|MGC138386|NDI|V2R
558	AXL	UFO
561	AZF2	-
563	AZGP1	ZA2G|ZAG
564	AZGP1P1	-
565	AZGP1P2	-
566	AZU1	AZAMP|AZU|CAP37|HBP|HUMAZUR|NAZC
567	B2M	-
568	B2MR	-
570	BAAT	BACAT|BAT|FLJ20300|MGC104432
571	BACH1	-
572	BAD	BBC2|BCL2L8
573	BAG1	-
574	BAGE	BAGE1
575	BAI1	-
576	BAI2	-
577	BAI3	KIAA0550|MGC133100
578	BAK1	BAK|BAK-LIKE|BCL2L7|CDN1|MGC117255|MGC3887
579	BAPX1	MGC138171|NKX3-2|NKX3.2|NKX3B
580	BARD1	-
581	BAX	Bax zeta
582	BBS1	BBS2L2|FLJ23590|MGC126183|MGC126184|MGC51114
583	BBS2	BBS|MGC20703
585	BBS4	-
586	BCAT1	BCT1|DKFZp686E12175|ECA39|MECA39
587	BCAT2	BCAM|BCT2
588	BCGF1	BCGF
590	BCHE	CHE1|E1
593	BCKDHA	FLJ45695|MSU|MSUD1
594	BCKDHB	E1B
595	CCND1	BCL1|D11S287E|PRAD1|U21B31
596	BCL2	Bcl-2
597	BCL2A1	ACC-1|ACC-2|BCL2L5|BFL1|GRS|HBPA1
598	BCL2L1	BCL-XL/S|BCL2L|BCLX|Bcl-X|DKFZp781P2092|bcl-xL|bcl-xS
599	BCL2L2	BCL-W|BCLW|KIAA0271
600	BCL2L7P1	BAK2|Bak-2|DKFZp686D0345
601	BCL2L7P2	BAK3|BAK3P
602	BCL3	BCL4|D19S37
603	BCL5	-
604	BCL6	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51
605	BCL7A	BCL7
606	BCL8	-
607	BCL9	LGS|MGC131591
608	TNFRSF17	BCM|BCMA|CD269
610	HCN2	BCNG-2|BCNG2|HAC-1
611	OPN1SW	BCP|BOP|CBT
