serA	;SET01513;SET08198
yxaA	;SET01514
gntZ	;SET01528
yqjI	;SET01528
rpe	;SET01529
kdgK	;SET01541;SET01541
kduD	;SET01542;SET04049
yvdK	;SET01555;SET06040
yfkN	;SET01562;SET01877;SET02148;SET02370;SET03060;SET03423;SET03537;SET03538;SET03929;SET05135;SET01562;SET01877;SET02148;SET02370;SET03060;SET03423;SET03537;SET03538;SET03929;SET05135
acpS	;SET01625
fabD	;SET01626
buk	;SET01688;SET01688
aroC	;SET01714
aroF	;SET01714
yueK	;SET01724
gntK	;SET01737;SET01737
thrB	;SET01771
hom	;SET01773;SET01775;SET04509
metA	;SET01777
cdsA	;SET01799
pssA	;SET01800
pgsA	;SET01801
glgP	;SET01821;SET02111;SET06050;SET06185
ywjH	;SET01827
argG	;SET01954
pksG	;SET01978
psd	;SET02055
nagA	;SET02059;SET05168
amyE	;SET02108;SET02108;SET06209;SET06209
glgB	;SET02110;SET06186
tenA	;SET02133;SET02133
dgkA	;SET02240
ycbC	;SET02279
argD	;SET02283;SET02283
alaT	;SET02283;SET04475
hutG	;SET02285;SET02285
hutI	;SET02288;SET02288
asd	;SET02291
dapA	;SET02292
pel	;SET02361;SET06240;SET08694
aroK	;SET02412
aroE	;SET02413;SET02413;SET03460;SET03460
glgA	;SET02421;SET06049
yurH	;SET02423;SET07767;SET07768;SET02433;SET05554;SET06138
yulE	;SET02437
ylbQ	;SET02472
panC	;SET02473
yjmD	;SET02528;SET02528;SET03234;SET03234;SET03544;SET03544;SET03545;SET03545;SET04810;SET04812;SET04812
gbsA	;SET02565;SET02566
argB	;SET02649;SET02649
ykuR	;SET02733
dapF	;SET02735
ycbF	;SET02752;SET08056
fabG	;SET02767;SET04533;SET04534;SET04536;SET04543;SET04566;SET04953;SET04964;SET07763
murD	;SET02783
murE	;SET02788
ylnE	;SET02864
ylnF	;SET02864;SET03947
alsD	;SET02947;SET02947;SET02948;SET02948
hisJ	;SET03013
aroB	;SET03083
aroD	;SET03084
murB	;SET03191;SET03192
murC	;SET03193
hemE	;SET03197;SET04972
hemY	;SET03222
thiC	;SET03223
thiE	;SET03223
proA	;SET03313
nadC	;SET03348;SET03348
phy	;SET03371
argC	;SET03443;SET03443
hisB	;SET03457
folK	;SET03503;SET03503
trpF	;SET03509
gltX	;SET03651;SET05578
fmt	;SET03940
menE	;SET04030
menC	;SET04031
ykrT	;SET04143
menB	;SET04150;SET07263
serC	;SET04173;SET05085
dapB	;SET04198;SET04199
ykvK	;SET04286
purT	;SET04325;SET04326
ykuQ	;SET04364
kduI	;SET04383
metE	;SET04405;SET00177;SET04771
mmgE	;SET04424
thiM	;SET04448
patA	;SET04467
hisF	;SET04558
murF	;SET04572;SET04573;SET04617
hisA	;SET04640
murG	;SET05027;SET05032;SET05662;SET06172;SET06173;SET06174
sacB	;SET05140;SET06079
bioI	;SET05265;SET06401;SET07687
hxlA	;SET05338
hxlB	;SET05339
pabC	;SET05553;SET05553
ycbH	;SET05608
mraY	;SET05628;SET05629;SET05630
dxs	;SET05636
dxr	;SET05688
uppS	;SET06447;SET07269
nifS	;SET07460
