XynB	;SET01433;SET06203
Tdh	;SET01465
ThrC	;SET01466;SET05086
DhbA	;SET01505;SET01505
SerA	;SET01513;SET08198
YxaA	;SET01514
GntZ	;SET01528
YqjI	;SET01528
Rpe	;SET01529
KdgK	;SET01541;SET01541
KduD	;SET01542;SET04049
YvdK	;SET01555;SET06040
YfkN	;SET01562;SET01877;SET02148;SET02370;SET03060;SET03423;SET03537;SET03538;SET03929;SET05135;SET01562;SET01877;SET02148;SET02370;SET03060;SET03423;SET03537;SET03538;SET03929;SET05135
AcpS	;SET01625
FabD	;SET01626
Buk	;SET01688;SET01688
AroC	;SET01714
AroF	;SET01714
YueK	;SET01724
GntK	;SET01737;SET01737
ThrB	;SET01771
Hom	;SET01773;SET01775;SET04509
MetA	;SET01777
CdsA	;SET01799
PssA	;SET01800
PgsA	;SET01801
GlgP	;SET01821;SET02111;SET06050;SET06185
YwjH	;SET01827
ArgG	;SET01954
PksG	;SET01978
Psd	;SET02055
NagA	;SET02059;SET05168
AmyE	;SET02108;SET02108;SET06209;SET06209
GlgB	;SET02110;SET06186
TenA	;SET02133;SET02133
DgkA	;SET02240
YcbC	;SET02279
ArgD	;SET02283;SET02283
AlaT	;SET02283;SET04475
HutG	;SET02285;SET02285
HutI	;SET02288;SET02288
Asd	;SET02291
DapA	;SET02292
Pel	;SET02361;SET06240;SET08694
AroK	;SET02412
AroE	;SET02413;SET02413;SET03460;SET03460
GlgA	;SET02421;SET06049
YurH	;SET02423;SET07767;SET07768;SET02433;SET05554;SET06138
YulE	;SET02437
YlbQ	;SET02472
PanC	;SET02473
YjmD	;SET02528;SET02528;SET03234;SET03234;SET03544;SET03544;SET03545;SET03545;SET04810;SET04812;SET04812
GbsA	;SET02565;SET02566
ArgB	;SET02649;SET02649
YkuR	;SET02733
DapF	;SET02735
YcbF	;SET02752;SET08056
FabG	;SET02767;SET04533;SET04534;SET04536;SET04543;SET04566;SET04953;SET04964;SET07763
MurD	;SET02783
MurE	;SET02788
YlnE	;SET02864
YlnF	;SET02864;SET03947
AlsD	;SET02947;SET02947;SET02948;SET02948
HisJ	;SET03013
AroB	;SET03083
AroD	;SET03084
MurB	;SET03191;SET03192
MurC	;SET03193
HemE	;SET03197;SET04972
HemY	;SET03222
ThiC	;SET03223
ThiE	;SET03223
ProA	;SET03313
NadC	;SET03348;SET03348
Phy	;SET03371
ArgC	;SET03443;SET03443
HisB	;SET03457
FolK	;SET03503;SET03503
TrpF	;SET03509
GltX	;SET03651;SET05578
Fmt	;SET03940
MenE	;SET04030
MenC	;SET04031
YkrT	;SET04143
MenB	;SET04150;SET07263
SerC	;SET04173;SET05085
DapB	;SET04198;SET04199
YkvK	;SET04286
PurT	;SET04325;SET04326
YkuQ	;SET04364
KduI	;SET04383
MetE	;SET04405;SET00177;SET04771
MmgE	;SET04424
ThiM	;SET04448
PatA	;SET04467
HisF	;SET04558
MurF	;SET04572;SET04573;SET04617
HisA	;SET04640
MurG	;SET05027;SET05032;SET05662;SET06172;SET06173;SET06174
SacB	;SET05140;SET06079
