id	symbol	sid	xref_key	xref_dbname
1868212	ASP3-2	97048	YLR157C	SGD
1868213	ASP3-3	97048	ASP3	SGD
1868213	ASP3-3	97048	YLR158C	SGD
1868214	ASP3-4	97048	ASP3	SGD
1868214	ASP3-4	97048	YLR160C	SGD
1868215	ASR1	97048	YPR093C	SGD
1868216	AST1	97048	YBL069W	SGD
1868217	AST2	97048	YER101C	SGD
1868218	ATC1	97048	LIC4	SGD
1868218	ATC1	97048	YDR184C	SGD
1868219	ATE1	97048	YGL017W	SGD
1868220	ATF1	97048	YOR377W	SGD
1868221	ATF2	97048	YGR177C	SGD
1868222	ATG1	97048	APG1	SGD
1868222	ATG1	97048	AUT3	SGD
1868222	ATG1	97048	CVT10	SGD
1868222	ATG1	97048	YGL180W	SGD
1868223	ATG10	97048	APG10	SGD
1868223	ATG10	97048	YLL042C	SGD
1868224	ATG11	97048	CVT9	SGD
1868224	ATG11	97048	YPR049C	SGD
1868225	ATG12	97048	APG12	SGD
1868225	ATG12	97048	YBR217W	SGD
1868226	ATG13	97048	APG13	SGD
1868226	ATG13	97048	YPR185W	SGD
1868227	ATG14	97048	APG14	SGD
1868227	ATG14	97048	CVT12	SGD
1868227	ATG14	97048	YBR128C	SGD
1868228	ATG15	97048	AUT5	SGD
1868228	ATG15	97048	CVT17	SGD
1868228	ATG15	97048	YCR068W	SGD
1868229	ATG16	97048	APG15	SGD
1868229	ATG16	97048	APG16	SGD
1868229	ATG16	97048	CVT11	SGD
1868229	ATG16	97048	SAP18	SGD
1868229	ATG16	97048	YMR159C	SGD
1868230	ATG17	97048	APG17	SGD
1868230	ATG17	97048	YLR423C	SGD
1868231	ATG18	97048	AUT10	SGD
1868231	ATG18	97048	CVT18	SGD
1868231	ATG18	97048	NMR1	SGD
1868231	ATG18	97048	SVP1	SGD
1868231	ATG18	97048	YFR021W	SGD
1868232	ATG19	97048	CVT19	SGD
1868232	ATG19	97048	YOL082W	SGD
1868233	ATG2	97048	APG2	SGD
1868233	ATG2	97048	AUT8	SGD
1868233	ATG2	97048	SPO72	SGD
1868233	ATG2	97048	YNL242W	SGD
1868234	ATG20	97048	CVT20	SGD
1868234	ATG20	97048	SNX42	SGD
1868234	ATG20	97048	YDL113C	SGD
1868235	ATG21	97048	HSV1	SGD
1868235	ATG21	97048	MAI1	SGD
1868235	ATG21	97048	YPL100W	SGD
1868236	ATG22	97048	AUT4	SGD
1868236	ATG22	97048	YCL038C	SGD
1868237	ATG23	97048	CVT23	SGD
1868237	ATG23	97048	YLR431C	SGD
1868238	ATG26	97048	UGT51	SGD
1868238	ATG26	97048	YLR189C	SGD
1868239	ATG27	97048	ETF1	SGD
1868239	ATG27	97048	YJL178C	SGD
1868240	ATG29	97048	YPL166W	SGD
1868241	ATG3	97048	APG3	SGD
1868241	ATG3	97048	AUT1	SGD
1868241	ATG3	97048	YNR007C	SGD
1868242	ATG4	97048	APG4	SGD
1868242	ATG4	97048	AUT2	SGD
1868242	ATG4	97048	YNL223W	SGD
1868243	ATG5	97048	APG5	SGD
1868243	ATG5	97048	YPL149W	SGD
1868244	ATG7	97048	APG7	SGD
1868244	ATG7	97048	CVT2	SGD
1868244	ATG7	97048	YHR171W	SGD
1868245	ATG8	97048	APG8	SGD
1868245	ATG8	97048	AUT7	SGD
1868245	ATG8	97048	CVT5	SGD
1868245	ATG8	97048	YBL078C	SGD
1868246	ATG9	97048	APG9	SGD
1868246	ATG9	97048	AUT9	SGD
1868246	ATG9	97048	CVT7	SGD
1868246	ATG9	97048	YDL149W	SGD
1868247	ATH1	97048	YPR026W	SGD
1868248	ATM1	97048	YMR301C	SGD
1868249	ATO2	97048	FUN34	SGD
1868249	ATO2	97048	YNR002C	SGD
1868250	ATO3	97048	YDR384C	SGD
1868251	ATP1	97048	YBL099W	SGD
1868252	ATP10	97048	YLR393W	SGD
1868253	ATP11	97048	YNL315C	SGD
1868254	ATP12	97048	YJL180C	SGD
1868255	ATP14	97048	YLR295C	SGD
1868256	ATP15	97048	ATPEPSILON	SGD
1868256	ATP15	97048	YPL271W	SGD
1868257	ATP16	97048	YDL004W	SGD
1868258	ATP17	97048	YDR377W	SGD
1868259	ATP18	97048	YML081C-A	SGD
1868260	ATP19	97048	YOL077W-A	SGD
1868261	ATP2	97048	YJR121W	SGD
1868262	ATP20	97048	YPR020W	SGD
1868263	ATP3	97048	YBR039W	SGD
1868264	ATP4	97048	LPF7	SGD
1868264	ATP4	97048	YPL078C	SGD
1868265	ATP5	97048	OSC1	SGD
1868265	ATP5	97048	YDR298C	SGD
1868266	ATP6	97048	OLI2	SGD
1868266	ATP6	97048	OLI4	SGD
1868266	ATP6	97048	PHO1	SGD
1868266	ATP6	97048	Q0085	SGD
1868267	ATP7	97048	YKL016C	SGD
1868268	ATP8	97048	AAP1	SGD
1868268	ATP8	97048	Q0080	SGD
1868269	ATR1	97048	SNQ1	SGD
1868269	ATR1	97048	YML116W	SGD
1868270	ATS1	97048	FUN28	SGD
1868270	ATS1	97048	KTI13	SGD
1868270	ATS1	97048	YAL020C	SGD
1868271	ATX1	97048	YNL259C	SGD
1868272	ATX2	97048	YOR079C	SGD
1868272	ATX2	97048	YOR29-30	SGD
1868273	AUA1	97048	YFL010W-A	SGD
1868273	AUA1	97048	YFL011W-A	SGD
1868274	AUR1	97048	YKL004W	SGD
1868275	AUS1	97048	YOR011W	SGD
1868277	AVL9	97048	YLR114C	SGD
1868278	AVO1	97048	YOL078W	SGD
1868279	AVO2	97048	YMR068W	SGD
1868280	AVT1	97048	YJR001W	SGD
1868281	AVT2	97048	YEL064C	SGD
1868282	AVT3	97048	YKL146W	SGD
1868283	AVT4	97048	YNL101W	SGD
1868284	AVT5	97048	YBL089W	SGD
1868285	AVT6	97048	YER119C	SGD
1868286	AVT7	97048	YIL088C	SGD
1868288	AXL1	97048	FUS5	SGD
1868288	AXL1	97048	STE22	SGD
1868288	AXL1	97048	YPR122W	SGD
1868289	AXL2	97048	BUD10	SGD
1868289	AXL2	97048	SRO4	SGD
1868289	AXL2	97048	YIL140W	SGD
1868290	AYR1	97048	YIL124W	SGD
1868291	AYT1	97048	YLL063C	SGD
1868292	AZF1	97048	YOR113W	SGD
1868293	AZR1	97048	YGR224W	SGD
1868294	BAG7	97048	YOR134W	SGD
1868295	BAP2	97048	YBR068C	SGD
1868296	BAP3	97048	PAP1	SGD
1868296	BAP3	97048	YDR046C	SGD
1868297	BAR1	97048	SST1	SGD
1868297	BAR1	97048	YIL015W	SGD
1868298	BAS1	97048	YKR099W	SGD
1868299	BAT1	97048	ECA39	SGD
1868299	BAT1	97048	TWT1	SGD
1868299	BAT1	97048	YHR208W	SGD
1868300	BAT2	97048	ECA40	SGD
1868300	BAT2	97048	TWT2	SGD
